error_P1,error_P2,error_P3,error_P4,good_P1,good_P2,good_P3,good_P4,ident,group
0,0,0,0,0,0,0,0,remote,
1,2,0,0,48,14,0,0,whyCorn,1
2,12,3,9,17,15,10,18,shopForget,1
1,4,3,2,4,4,5,12,fastHay,2
0,0,0,0,0,0,0,0,herselfRelated,2
2,10,10,22,23,7,25,7,planeTaught,2
1,1,6,8,10,8,9,16,principleSuggest,2
2,0,2,2,8,6,8,22,nearestContinent,2
2,5,4,2,6,12,4,22,oldestSource,2
0,1,0,0,14,20,4,19,spendDance,2
3,0,0,0,6,0,0,0,grassEverything,2
0,3,0,1,9,4,13,21,landOur,2
4,3,5,3,7,9,8,13,graduallyFriend,2
1,4,5,6,13,2,5,12,suddenlyPrevious,2
1,2,8,3,20,16,10,50,intoBecause,2
2,2,4,7,5,2,1,7,tellAdditional,2
0,5,1,3,8,1,4,2,flagShells,2
2,8,0,1,8,6,6,6,shelfInvented,2
2,4,3,4,5,9,3,13,powerfulLater,2
2,5,6,17,1,1,3,7,staredEverything,2
3,7,6,7,29,25,20,27,dailyNothing,2
0,0,0,0,0,0,0,0,mightDrive,2
6,9,11,12,13,12,8,23,heldCorrect,2
6,8,11,17,27,46,39,105,requirePlanning,2
4,3,5,7,12,16,22,44,whileThread,2
0,5,0,0,0,0,0,2,opportunityFurniture,2
6,9,0,9,4,3,2,16,terriblePlan,1
6,9,0,9,0,0,0,0,makeImpossible,1
1,3,1,1,12,6,7,10,aroundThing,1
0,1,0,0,0,0,0,1,growthDepend,1
0,0,1,2,4,3,3,9,closerLoss,1
1,0,3,0,0,0,0,3,pleasureIs,1
0,0,0,0,4,4,1,0,waterThrow,1
1,2,5,2,9,9,7,15,everybodySale,1
1,2,2,1,1,0,1,0,ruleKept,1
2,1,3,3,4,6,4,27,lifeHello,1
0,4,0,0,1,1,0,0,beatMarket,1
1,2,0,1,7,8,3,10,ableOil,1
0,2,4,7,7,3,4,8,forgetWing,1
1,1,5,2,10,4,5,15,aloudMemory,1
0,2,0,0,0,2,0,0,classroomVillage,1
1,4,2,0,8,5,3,0,runScientific,1
5,11,6,21,10,21,9,53,readSoon,1
0,1,5,1,13,12,10,18,planningBranch,1
2,3,4,4,13,11,11,28,yesHat,1
0,0,5,0,11,0,9,12,brassBlack,2
0,0,0,0,0,0,0,0,surroundedSatisfied,1
1,0,2,0,12,10,33,0,atmospherePaid,1
4,0,0,0,6,0,0,0,petFirst,1
4,0,0,0,1,1,0,0,roomMile,1
4,0,0,0,0,0,0,0,stockSummer,2
0,1,0,0,0,0,0,0,importanceCompletely,2
0,2,0,0,0,0,0,0,bankLoud,1
2,10,4,16,12,13,16,43,planeBread,2
0,0,0,2,4,4,4,6,pathEnter,1
5,7,0,0,12,8,6,3,cameTelephone,2
0,8,8,10,7,7,8,19,hurrySoftly,1
1,0,0,0,8,11,0,0,habitStudied,1
0,4,4,3,12,6,8,33,oldAnother,1
1,1,5,5,9,7,7,19,greaterClothes,1
2,3,1,2,11,6,4,7,higherWrote,1
2,3,1,2,0,1,0,0,enterLift,1
0,4,0,0,0,3,0,0,feedPictured,1
0,2,0,0,0,3,3,12,cookiesRefused,2
0,2,0,0,0,1,0,2,simpleFinest,1
0,3,0,0,0,3,1,10,madForce,2
0,2,0,0,0,7,0,0,spiderAm,1
0,4,9,2,0,8,3,18,verticalExcited,2
0,0,8,0,0,0,7,0,unhappyYesterday,1
0,0,0,2,0,0,4,10,questionTail,1
0,0,0,5,0,0,25,32,winterPractical,1
0,0,0,5,0,0,0,1,begunFastened,1
0,0,0,4,0,0,0,18,gotFloating,1
0,0,0,4,0,0,0,15,dependEnemy,1
0,0,0,7,0,0,0,13,establishIce,1
0,0,0,1,0,0,0,0,paragraphBiggest,1
0,0,0,4,0,0,0,9,nothingMain,1
